관리번호,시군구명,동명,리명,지번,도로명,구코드,동코드,리코드,교차로명,경도,위도
16-129,기장군,정관읍,용수리,1389,,26710,26710256,2671025628,정관신도시(#16),129.1670799,35.32468435
16-109,기장군,정관읍,용수리,635-7,용수로 79,26710,26710256,2671025628,정관 3지점,129.174339,35.32786569
16-140,기장군,정관읍,달산리,259-13,,26710,26710256,2671025625,정관신도시(#28),129.1847018,35.32234822
16-139,기장군,정관읍,달산리,801,,26710,26710256,2671025625,정관신도시(#26),129.1840597,35.31945735
16-138,기장군,정관읍,매학리,780,,26710,26710256,2671025622,정관신도시(#25),129.1810037,35.31973872
16-137,기장군,정관읍,매학리,717-4,정관로 579,26710,26710256,2671025622,정관신도시(#24),129.1783842,35.320526
16-136,기장군,정관읍,달산리,986-2,,26710,26710256,2671025625,정관신도시(#23),129.1777553,35.31931718
16-135,기장군,정관읍,달산리,124,,26710,26710256,2671025625,정관신도시(#22),129.1766704,35.31730622
16-108,기장군,정관읍,매학리,731,,26710,26710256,2671025622,정관신도시2지점,129.1794297,35.32229863
12-232,강서구,성북동,,1488,신항남로 330,26440,26440119,,다목적부두 배후도로(A지점),128.8347503,35.07800196
12-195,강서구,성북동,,1499,신항로 96-72,26440,26440119,,북컨테이너배후부지 Q지점,128.8182649,35.08604612
12-194,강서구,성북동,,1499,신항로 96-72,26440,26440119,,북컨테이너배후부지 V지점,128.8242842,35.08612957
12-193,강서구,성북동,,1533,,26440,26440119,,북컨테이너배후부지 X지점,128.8311529,35.08716774
12-192,강서구,성북동,,1497,,26440,26440119,,부산항임항도로 횡단로,128.8264604,35.08318818
12-154,강서구,성북동,,1513,,26440,26440119,,신항교차로(신항1),128.8346961,35.08309538
16-141,기장군,정관읍,방곡리,295,,26710,26710256,2671025621,정관신도시(#29),129.1851458,35.32369819
16-142,기장군,정관읍,달산리,1226,,26710,26710256,2671025625,정관신도시(#32),129.1890049,35.32077989
16-143,기장군,정관읍,달산리,1231,산단4로 160,26710,26710256,2671025625,정관신도시(#33),129.1915664,35.32022404
16-144,기장군,정관읍,예림리,404,,26710,26710256,2671025630,정관신도시(#34),129.1915444,35.32178219
16-145,기장군,정관읍,예림리,148-11,,26710,26710256,2671025630,정관신도시(#35),129.1939386,35.32244234
16-148,기장군,정관읍,모전리,786,,26710,26710256,2671025627,정관신도시(#39),129.162834,35.33856041
16-149,기장군,정관읍,방곡리,404,,26710,26710256,2671025621,정관신도시(#42),129.1890055,35.32466229
16-150,기장군,정관읍,예림리,404,,26710,26710256,2671025630,정관신도시(#43),129.190708,35.32334664
